title,model,storage
iPhone 16 Plus 256G 黑色/白色 全新未拆 台灣公司貨,iPhone 16 Plus,256
【販售商品】I phone16 pro 128,iPhone 16 Pro,128
售 16 Promax 256G,iPhone 16 Pro Max,256
【販售商品】I phone 16 e 256g,iPhone 16,256
Iphone 16 256g 白色,iPhone 16,256
iphone 14 pro 256g 紫色,iPhone 14 Pro,256
賣全新未拆封 iphone 16 256g 黑色台灣原廠公司貨👍 限面交 若有其他型號需求請私訊,iPhone 16,256
iPhone 13 Pro 512G,iPhone 13 Pro,512
"I phone 15 pro max , 256 gb, 90% battery health",iPhone 15 Pro Max,256
I phone15 pro 128,iPhone 15 Pro,128
iPhone 16 128GB 綠 原廠保固,iPhone 16,128
iPhone 16e 白 128G,iPhone 16E,128
iPhone 16 粉/256g/電池健康度100% 有盒漂亮無傷 保固至26/3/25,iPhone 16,256
完美二手 iPhone16 Pro 512G 金色~電池循環1次~6.3吋,iPhone 16 Pro,512
iphone13二手機,iPhone 13,Unknown
iPhone 16 pro 128g 沙漠金✨全機無傷 新北面交,iPhone 16 Pro,128
iPhone16promax512g白色,iPhone 16 Pro Max,512
想收iPhone 16(256g),iPhone 16,256
iPhone 16 粉紅色256g全新,iPhone 16,256
iPhone 16 Plus 256白/保114.12/電池100%,iPhone 16 Plus,256
iPhone16 plus 128g 綠,iPhone 16 Plus,128
16promax 256黑色 保固2026/2/4,iPhone 16 Pro Max,256
想收iPhone 16一隻,iPhone 16,Unknown
16 pro 256 黑色,iPhone 16 Pro,256
iPhone 16 plus 128Gb,iPhone 16 Plus,128
iPhone16 Pro Max/256g,iPhone 16 Pro Max,256
全新 iPhone 16 Pro 256GB 黑色,iPhone 16 Pro,256
Apple 16proMax 256G 白,iPhone 16 Pro Max,256
iPhone 16 pro max 256Gb,iPhone 16 Pro Max,256
iPhone16 pro 256g 白鈦,iPhone 16 Pro,256
iphone 16黑色128g,iPhone 16,128
iPhone 16 Pro Max 256G 全系列,iPhone 16 Pro Max,256
[雙北面交] iPhone 16 ProMax 256GB（金色/黑色/原色）全新未拆封,iPhone 16 Pro Max,256
《 購 買 》 全新iphone16 pro max 256g,iPhone 16 Pro Max,256
iPhone 12promax 512G 黑色 電89 原盒原線,iPhone 12 Pro Max,512
售 Apple Iphone 15 Pro max 512GB 黑色,iPhone 15 Pro Max,512
iPhone 16 pro ZIFRIEND零失敗手機膜,iPhone 16 Pro,Unknown
Iphone16promax 256g 白色,iPhone 16 Pro Max,256
回收二手iPhone 11-16,iPhone 11,Unknown
急售！i16pro 256g 外觀無瑕疵近全新 功能正常 [hidden information] 可小刀 家人醫藥費急需😭,iPhone 16 Pro,256
iPhone 16 Plus 粉色,iPhone 16 Plus,Unknown
iPhone 12 Pro,iPhone 12 Pro,Unknown
Iphone 14 Pro 256 紫,iPhone 14 Pro,256
想找一隻iphone16 PRO MAX 雙北 二手也行,iPhone 16 Pro Max,Unknown
Iphone 16pro 128 白 原,iPhone 16 Pro,128
Iphone 16 128 白 黑 原,iPhone 16,128
Iphone 15 128g,iPhone 15,128
Iphone 16pro max 512 金 原,iPhone 16 Pro Max,512
iPhone 16 128 藍色,iPhone 16,128
iPhone 16 Pro Max 256 白色,iPhone 16 Pro Max,256
iPhone 16 Plus 256 藍色,iPhone 16 Plus,256
iPhone 16 128G 100% 保2026/5/11,iPhone 16,128
iPhone 16 Pro 256,iPhone 16 Pro,256
"🔥 iPhone 14 Pro 256GB 僅售 $18,000！電池全新100%！",iPhone 14 Pro,256
iPhone 16 pro max 512g 大容量,iPhone 16 Pro Max,512
iPhone 16 128 藍 🔋100保固2025/11/6,iPhone 16,128
iPhone 16 128 粉 🔋100保固2025/9/24,iPhone 16,128
iPhone 16 pro max 256 黑 🔋100保固2026/6/5,iPhone 16 Pro Max,256
iPhone 16 128Gb,iPhone 16,128
iPhone 16 Pro Max 512GB,iPhone 16 Pro Max,512
iPhone 16 plus 128 綠 🔋100保固2025/12/1,iPhone 16 Plus,128
iPhone 16 128 粉 🔋90保固2025/9/23,iPhone 16,128
iPhone 16 pro max 256 白 🔋100保固2025/9/20,iPhone 16 Pro Max,256
Phone 16 PRO 128G 功能正常 無損傷 全新 未使用 低價出 支持分期,iPhone 16 Pro,128
iPhone 16 pro 128 黑色,iPhone 16 Pro,128
iPhone 16 Pro Max 512G,iPhone 16 Pro Max,512
iPhone 16 Pro Max 256 保固到2026/3/13,iPhone 16 Pro Max,256
iPhone 16 Plus 256 保固到2026/4/17,iPhone 16 Plus,256
Apple iphone16 128g全新已拆,iPhone 16,128
iPhone 14pro max 256g 附盒裝,iPhone 14 Pro Max,256
IPhone 14Promax-128G 紫色 全部都是原廠的,iPhone 14 Pro Max,128
IPhone 16 pro,iPhone 16 Pro,Unknown
iPhone16 Pro 256g 全新保固一年,iPhone 16 Pro,256
出自用iPhone11 64g 沒有維修,iPhone 11,64
iPhone14 Pro Max 256G 電92% 黑色,iPhone 14 Pro Max,256
iPhone16,iPhone 16,Unknown
I phone15 plus 256,iPhone 15 Plus,256
Iphone16粉 128G 🔋100#,iPhone 16,128
Iphone16 128藍色,iPhone 16,128
iPhone 16e-256g,iPhone 16E,256
🌟Facebook優選賣家🌟 iPhone 16 pro 512g 黑色 🖤,iPhone 16 Pro,512
全新iPhone 16 Pro Max 512GB 沙漠色鈦金屬 （在台完全正常使用）,iPhone 16 Pro Max,512
I phone 16 e 256g,iPhone 16,256
Iphone16pro 128,iPhone 16 Pro,128
iPhone 16E 256Gb,iPhone 16E,256
iphone15 Plus 256g,iPhone 15 Plus,256
12 PM 128-附原盒、犀牛盾,iPhone 12,128
I phone16 pro 128,iPhone 16 Pro,128
全新賠售~iPhone 16e 256G 白色 台灣公司貨 可面交,iPhone 16E,256
[雙北面交] iPhone 16 Pro 256GB（原色）全新未拆封,iPhone 16 Pro,256
iPhone 14 Pro Max 紫/256g：電池健康度86% 無盒 八成新,iPhone 14 Pro Max,256
徵 iPhone 16 Pro max 256 G 一支 我要買,iPhone 16 Pro Max,256
二手IPhone 15 pro 256G 原鈦色,iPhone 15 Pro,256
二手 IPhone16 pro 128G,iPhone 16 Pro,128
全新 Iphone 16,iPhone 16,Unknown
全新 iPhone 16 256GB 黑色,iPhone 16,256
I phone 16pro max256,iPhone 16 Pro Max,256
Apple 16proMax 256GB 黑,iPhone 16 Pro Max,256
Iphone16 128G 黑色,iPhone 16,128
16 pro max 256 白,iPhone 16 Pro Max,256
"Iphone15 128G,16pro max256G,12pro max128G,12 128G,11pro max 256G,11pro 256G,11 64G,xs 256G",iPhone 15,128
Iphone16plus128綠色,iPhone 16 Plus,128
Ipad10 10.9吋／wifi/64g 二手 Iphone15 promax 256g 二手（已售出） Airport pro2 二手（已售出）,iPhone 15 Pro Max,64
ROG3 16+512 ROG幻影 18+512,iPhone 16,512
iPhone16Pro max 256G 金🔋100%保25/11/5,iPhone 16 Pro Max,256
iPhone 16 pro max 256Gb,iPhone 16 Pro Max,256
iPhone 16 Pro 256GB 黑 原廠保固,iPhone 16 Pro,256
iPhone 16 Pro 512G 黑,iPhone 16 Pro,512
IPHONE 16 pro 256G 沙漠金 全新未拆封 未開通 限店取,iPhone 16 Pro,256
iPhone 16 pro 128g 黑色,iPhone 16 Pro,128
Iphone 16 pro max 256g 鈦原色,iPhone 16 Pro Max,256
iPhone 12 Pro Max 128G,iPhone 12 Pro Max,128
iPhone 16 Pro 256G,iPhone 16 Pro,256
收 Iphone 16 系列 512g 16pro 37000收 16 30000收,iPhone 16,512
iPhone 15 Pro 256GB 89%🔋,iPhone 15 Pro,256
iPhone 16e 256 白✨功能正常 雙北桃面交,iPhone 16E,256
iPhone 13,iPhone 13,Unknown
iPhone 13 Pro 128G,iPhone 13 Pro,128
Iphone 16plus 128 藍 綠,iPhone 16 Plus,128
比原廠便宜$3000元 【出售】 iPhone 16e 128灰 【容量】128G 【保固】原廠保固一年 【電池健康度】 100% 【外觀】 全新未拆 【貨源】 公司貨 【售價】$18900 【電話,iPhone 16E,128
iphone 12 pro max 512g🔋89% (ios-16.3),iPhone 12 Pro Max,512
iPhone 16 128 黑色 電池循環度0 五月開通,iPhone 16,128
iPhone 16 128g 黑/白/綠,iPhone 16,128
Iphone 16 128g,iPhone 16,128
iPhone 16 128g ｜原廠品質、有保固保障,iPhone 16,128
全新未拆 iPhone 16 pro 256 256G 金色,iPhone 16 Pro,256
iPhone 16 Plus 256G 保2026/1/5,iPhone 16 Plus,256
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,iPhone 16 Plus,128
iPhone 16 Pro Max 256 六月開通 循環低 黑色,iPhone 16 Pro Max,256
iPhone 16 Pro / Pro Max 256 沙漠 白 鈦 全新未拆,iPhone 16 Pro,256
iPhone 16 Pro Max 512,iPhone 16 Pro Max,512
女用手機 iPhone13Promax 藍色 低價出售 可以面交,iPhone 13 Pro Max,Unknown
iPhone 16 pro 128 原 🔋100保固2026/1/21,iPhone 16 Pro,128
iPhone 16 128Gb,iPhone 16,128
IPhone 14Promax-128G,iPhone 14 Pro Max,128
iPhone 16 Pro Max 256 沙漠金,iPhone 16 Pro Max,256
I Phone 16 pro 256G黑色,iPhone 16 Pro,256
iPhone 16e 128G 黑 健康度100% S級福利品 原廠保固內 實機拍攝 #41430,iPhone 16E,128
金色 Apple iPhone 16 Pro Max 256G 台灣保固2025.10.18 原廠盒裝.支持分期,iPhone 16 Pro Max,256
9.5成新 iPhone 14 Pro 超值登場｜可舊換新＋資料轉移服務！,iPhone 14 Pro,Unknown
iPhone 16 256g,iPhone 16,256
二手女生自用 iPhone 13 Pro max 256G 面交,iPhone 13 Pro Max,256
iPhone 12 Pro Max 256g 灰色,iPhone 12 Pro Max,256
iPhone 14Pro max 256G 黑色.,iPhone 14 Pro Max,256
Iphone16-128GB,iPhone 16,128
I phone16 128,iPhone 16,128
iPhone13 ProMax 512G,iPhone 13 Pro Max,512
iPhone 16 plus 256 黑色 稀有貨256‼️,iPhone 16 Plus,256
Iphone16粉色,iPhone 16,Unknown
售二手iPhone 16 128 黑/白/綠 板橋有實體店面收購各式3c產品,iPhone 16,128
3/12更新 iPhone 16 plus 128 白色全新未拆,iPhone 16 Plus,128
🌟Facebook優選賣家🌟 iPhone 15 pro max 1tb 藍色 市場極少大容量‼️,iPhone 15 Pro Max,1024
"Iphone16 128G, 13 128G,13mini 128G, 12pro 128G,12 128G,11 128G",iPhone 16,128
iPhone 16E 256g 白,iPhone 16E,256
iPhone16Plus 128G 黑 有盒🔋100%保26/5/13,iPhone 16 Plus,128
IPhone 16 Pro Max 512B (原色鈦金屬） ！！！便宜9千9！！！,iPhone 16 Pro Max,512
【售】iPhone 14 Pro 256GB 紫,iPhone 14 Pro,256
IPhone16 128G 白色 僅拆封未開機使用‼️,iPhone 16,128
16 Pro Max 256黑,iPhone 16 Pro Max,256
售iphone16 pro 128 g 沙漠色全新,iPhone 16 Pro,128
iPhone15pro max 256G 藍🔋85%,iPhone 15 Pro Max,256
iPhone 15 Pro 128GB Bekas | Kondisi 90% Mulus | Fullset Original,iPhone 15 Pro,128
出售iphone16,iPhone 16,Unknown
實體門市 二手 中古 展示 iPhone 16 512G I16藍 二眼 僅拆封未使用 原廠保固2026/6 可分期 僅此一台 保固近一年,iPhone 16,512
🫧現貨 全新未拆［iPhone］16 Pro｜16Pro Max 128g／256g／512g／1TB 金/白/原/黑 台灣公司貨 原廠保固一年,Multiple,128
15 pro max 512g,iPhone 15 Pro Max,512
iPhone 16 Pro 128GB 白 原廠保固,iPhone 16 Pro,128
iPhone 16 Pro Max 256GB 沙漠金🔥全新未拆🔥不議價,iPhone 16 Pro Max,256
iPhone 16 Pro Max 256G黑色 全新未拆封台灣原廠公司貨👍 若有其他型號需求請私訊,iPhone 16 Pro Max,256
售全新iPhone 16 Pro Max 512GB 黑色鈦金屬,iPhone 16 Pro Max,512
iphone16pro.256G 黑色全新官網原廠貨 4月購入有2年保固,iPhone 16 Pro,256
全新iPhone 16 Pro 256 GB白色鈦金屬,iPhone 16 Pro,256
iPhone 16 128G 電池健康度100% 綠色,iPhone 16,128
售iphone16 pro 128 黑,iPhone 16 Pro,128
iPhone 16 128g 全新未拆封,iPhone 16,128
Apple IPhone 16 128G黑色,iPhone 16,128
iPhone 16e 128G 黑 電池健康度100 台中實體店面 安心有保障🤩,iPhone 16E,128
iPhone 16e 128G 黑 台中實體店面,iPhone 16E,128
16 Pro 128GB 電池99% 原廠保固到10月底,iPhone 16 Pro,128
iPhone 16 128g 黑 全新保固未啟用 只有單機 便宜賣,iPhone 16,128
售iphone16 pro 128黑,iPhone 16 Pro,128
Apple iphone 16 pro （128G ）全新未拆,iPhone 16 Pro,128
iPhone 16 256g,iPhone 16,256
iPhone 16 Pro Max 256 GB,iPhone 16 Pro Max,256
iphone16 128g,iPhone 16,128
iPhone 16 pro 256g 金色,iPhone 16 Pro,256
iphone16 128G,iPhone 16,128
iphone16 256G 綠色 電池健康度100 原廠保固內 台中實體店面😊,iPhone 16,256
Iphone16e白色,iPhone 16E,Unknown
【售】 iPhone 16 pro 128G 【所在地】 : 台中 【售價】:28000NT 【備註】: 保固至2025/10/24 、電池健康度100% 、機身無傷9.5成新,iPhone 16 Pro,128
16 128g黑🔋100%保固9/20 機身漂亮無傷,iPhone 16,128
iPhone 16Pro 256G 🔋100% ✨,iPhone 16 Pro,256
售iphone16 pro 256g 白,iPhone 16 Pro,256
iPhone 16pro max 256銀,iPhone 16 Pro Max,256
📱【🔥iPhone 14 Pro Max｜限量 5 台出清🔥】📱,iPhone 14 Pro Max,Unknown
iPhone 16Plus￼,iPhone 16 Plus,Unknown
iPhone 16 Pro 1TB 100% （螢幕小傷）,iPhone 16 Pro,1024
iPhone 12藍 128G 低價出售,iPhone 12,128
金色 Apple iPhone 16 Pro Max 256G 台灣保固2025.10.18 原廠盒裝,iPhone 16 Pro Max,256
IPhone16e全新,iPhone 16E,Unknown
iPhone 16 pro,iPhone 16 Pro,Unknown
3C蘋果瘋世代｜【二手良品機】iPhone15 128g黑色,iPhone 15,128
iPhone15pro256 藍色 電池88 一切正常,iPhone 15 Pro,256
iPhone15Pro 256G 黑色 漂亮無傷 只要23800 !!!,iPhone 15 Pro,256
iPhone 16e,iPhone 16E,Unknown
【販售商品】I phone16 128,iPhone 16,128
I13,iPhone 13,Unknown
Iphone16e 128g,iPhone 16E,128
全新iPhone 16/128G,iPhone 16,128
售iPhone 16e 512G 黑色,iPhone 16E,512
IPhone 16 Pro 256G 沙漠色/白色「全新現貨」商品 《僅限台北面交》,iPhone 16 Pro,256
iPhone 16e 128g,iPhone 16E,128
6/8 更新 售iPhone 中古機｜新北、台北、桃園可面交,Multiple,Unknown
全新未拆封iPhone 16 pro 256g白色（蘆洲）,iPhone 16 Pro,256
iPhone 16e 512G 黑色 保固內｜新北、台北、桃園可面交,iPhone 16E,512
I phone 16 128 2眼 未使用的續約機,iPhone 16,128
iPhone 16 pro 256g 沙漠金✨原盒在 新北面交,iPhone 16 Pro,256
 iphone 16Plus 128G 黑 拆封未使用 🉑新.,iPhone 16 Plus,128
收 iPhone 16e,iPhone 16E,Unknown
【出售】 iPhone 16e 256G 【容量】256G 【保固】出貨保固一年 【電池健康度】 100% 【外觀】 全新 【貨源】 已拆封 全新機 【售價】$21900 【地點】 面交三重店,iPhone 16E,256
iPhone 16e 128g ｜原廠品質、有保固保障🔥,iPhone 16E,128
Appple iphone16e 256g 全新,iPhone 16E,256
iphone 15 128g 健康度100,iPhone 15,128
iPhone 16 256GB,iPhone 16,256
低價清出 iPhone15 por 256GB 電池壽命91% 換過原廠屏幕，其他部件全部原裝 使用痕跡 輕微,iPhone 15,256
iPhone 16 256GB 粉色,iPhone 16,256
🌟Facebook優選賣家🌟iPhone 16e 128 白色 保固2026/05/04‼️,iPhone 16E,128
Iphone15promax512g,iPhone 15 Pro Max,512
Iphone 16 256Gb 黑色🖤（陸版）,iPhone 16,256
Apple iPhone 16e黑/白色(128G/6.1吋) 全新未拆封台灣公司貨 空機價$19400北市中山區門市面交,iPhone 16E,128
iPhone 16e-256g,iPhone 16E,256
iPhone 16 256G 白色 保固2026/01/10,iPhone 16,256
16 Pro Max 256金/請詳閱/100%,iPhone 16 Pro Max,256
iPhone 13 pro 256 GB 電池健康度 100%,iPhone 13 Pro,256
Iphone16 128g,iPhone 16,128
iPhone 16 256G 黑色 保固2025/12/2,iPhone 16,256
蘋果 iPhone16 promax 256g 黑,iPhone 16 Pro Max,256
I phone 16 e 256g,iPhone 16,256
全新未拆封 iphone 16 plus 256GB,iPhone 16 Plus,256
福利機ASUS 華碩 ROG Phone 8 16G/512G 黑色保固2026/2/21近全新$21500北市中山區面交,iPhone 8,512
iPhone 16e 128G,iPhone 16E,128
二手IPhone 14 256G,iPhone 14,256
iphone 16 pro 128G黑,iPhone 16 Pro,128
🫧現貨 全新未拆［iPhone］iphone 16｜16plus 128g／256g／512g 黑/白/粉/綠/藍 台灣公司貨 原廠保固一年,iPhone 16,128
全新iPhone 16Pro Max手機 免運保固一年,iPhone 16 Pro Max,Unknown
實體門市 全新未拆2025 Apple iPhone 16e 128G 可免信用卡分期 現金分期 』SE3 萊分期 萊斯通訊,iPhone 16E,128
Iphone 16 128Gb 深青色💚,iPhone 16,128
二手 IPhone 14 256G,iPhone 14,256
【洋機隊】Apple iPhone 14 Pro 256GB 6.1吋 可eSIM 當日出貨 有實體店 #4100,iPhone 14 Pro,256
Iphone pro 16 256黑色,iPhone 16,256
iphone16系列 256G 實體門市,iPhone 16,256
【洋機隊】Apple iPhone 16 Pro Max 512GB 6.9吋 可eSIM 當日出貨 有實體店#4209,iPhone 16 Pro Max,512
6.1吋 中古機 二手機 九成新 Apple iPhone XR 128G 黑色 可分期 搭門號,iPhone X,128
中古機 二手機 APPLE IPHONE SE2 128G 白 IOS:17.5 SE I7 I8萊分期,iPhone 7,128
【全新僅開通一天】 Apple iPhone 16 128GB 6.1吋 可eSIM 當日出貨 有實體店 #777,iPhone 16,128
【洋機隊】Apple iPhone 16 Pro 256GB 6.3吋 可eSIM 當日出貨 有實體店 #777,iPhone 16 Pro,256
【洋機隊】全新未拆 APPLE iPhone 16 128GB 6.1吋 可eSIM 當日出貨 有實體店#999,iPhone 16,128
iPhone 16 手機無卡 0元帶走,iPhone 16,Unknown
iPhone 16e 128白,iPhone 16E,128
2025 實體門市 線上辦理 Apple iPhone 16e 256GB i16E 免頭款 免財力 學生/分期 軍人分期 萊分期,iPhone 16E,256
2025 免X卡分期 Apple iPhone 16e 512GB i16E 免頭款 免財力 學生/分期 軍人分期 萊分期,iPhone 16E,512
iPhone 16 256G 黑色 保固2026/01/22,iPhone 16,256
iPhone 16e交換z flip 6或z fold,iPhone 16E,Unknown
iPhone 16 256g 藍色✨全機無傷 雙北桃面交,iPhone 16,256
【出售】 iPhone 16e 256G 【容量】256G 【保固】出貨保固一年 【電池健康度】 100% 【外觀】 全新 【貨源】 已拆封 全新機 【售價】$21900 【地點】 面交三重店,iPhone 16E,256
iPhone 16e 128g 白,iPhone 16E,128
iPhone 16e 256G 全新,iPhone 16E,256
iPhone 16e 256g 黑,iPhone 16E,256
iPhone 16e 256g 白 保固剛開通,iPhone 16E,256
I phone 16 128g 藍,iPhone 16,128
近全新的iPhone 16 Pro Max 256G 沙漠金,iPhone 16 Pro Max,256
iPhone 16 128Gb,iPhone 16,128
iPhone 16e全新拆封檢查循環次數零,iPhone 16E,Unknown
iPhone 16 Pro 128G金色,iPhone 16 Pro,128
IPHONE 16E 128G,iPhone 16E,128
iPhone 16e 128g,iPhone 16E,128
Apple iPhone 16e 128g,iPhone 16E,128
我要 買。徵 收。iphone 16e 128/256 。全新未拆封 價格18000/21500 地點。新竹。有需要賣的可以私訊。,iPhone 16E,128
我要買 買 買 iphone 16e 128/256 全新未拆封 面交地點 新竹面交請私我 收購價格 .18000/21500 謝謝,iPhone 16E,128
iphone 16e 128G,iPhone 16E,128
iPhone 14 Pro 256g,iPhone 14 Pro,256
iPhone 16 128g,iPhone 16,128
iPhone 15 256G 粉色 電池86%（無臉部）🍎✨,iPhone 15,256
售iPhone 16黑色256G用一個禮拜,iPhone 16,256
iPhone 16E 256G 黑色（有盒）✨電池100%🔋,iPhone 16E,256
i16E 128 白色 新竹實體店面,iPhone 16E,128
“僅拆封開通展示” Apple iPhone 16e 128G 6.1吋 黑色 保固2026/04月 分期免頭款/高價回收舊機折抵/門號搭配優惠,iPhone 16E,128
售iPhone 15 128g 綠色,iPhone 15,128
14 pro 256G 黑,iPhone 14 Pro,256
iPhone 16 128 G￼高雄面交,iPhone 16,128
Iphone13mini 128g 紅色,iPhone 13 mini,128
IPhone 16e 黑色 256g 全新未拆封未啟用 。 $22500 No.686,iPhone 16E,256
售 全新未拆 I Phone 16 128G 白色,iPhone 16,128
IPHONE15 256G 粉色 #1898,iPhone 15,256
iPhone 16Pro 256G 金🔋100%,iPhone 16 Pro,256
iPhone 15 128G 黑,iPhone 15,128
Iphone11，女用機,iPhone 11,Unknown
iPhone 16pro256金,iPhone 16 Pro,256
全新未拆封IPHONE 16 128G,iPhone 16,128
IPHONE 16 pro max 256 原色鈦金屬,iPhone 16 Pro Max,256
iPhone 16 plus 256GB粉色🔋100%保固至2025/09/26盒裝ദ്ദി^ᴗ ̫ ᴗ^₎,iPhone 16 Plus,256
【艾爾巴數位】全新 IPhone 16e 128G A3409 6.1吋 黑#全新機#新竹店QYWCC,iPhone 16E,128
iPhone 16 128GB 白色🔋100% 保固至2025/12/24,iPhone 16,128
Apple 16e 128g 黑/白 全新未拆封,iPhone 16E,128
I phone16 pro 256盒裝完整無傷漂亮,iPhone 16 Pro,256
IPhone 16promax,iPhone 16 Pro Max,Unknown
iPhone 16 Promax 512GB 金,iPhone 16 Pro Max,512
Iphone16e 256 白色 有盒 保固至4/5,iPhone 16E,256
賣iPhone 16 256 G,iPhone 16,256
iPhone 16 Pro max 256G黑,iPhone 16 Pro Max,256
16e，128g,iPhone 16E,128
【商品】i Phone16 256g （87924） 【顏色】藍 【價格】$28500 【健康度】100% 【商品狀況】全新 已拆封 保固啟用到2026.6.11 【交易方式】高雄有實體店面,iPhone 16,256
"IPhone16 +plus藍 128G新品完全未開機,保固未啟用 開封",iPhone 16,128
Iphone16e 256,iPhone 16E,256
售-9.9新 僅循環6次 iPhone16 Pro MAX 256GB 金色,iPhone 16 Pro Max,256
近全新iphone 16 128G白，逢甲自取,iPhone 16,128
iPhone 12 (128G紫),iPhone 12,128
iphone 16e,iPhone 16E,Unknown
iPhone16 128g 黑色 僅拆封檢查,iPhone 16,128
iPhone 13 128G 白,iPhone 13,128
收收收 Iphone 16e 128/256,iPhone 16E,128
IPHONE 14 128G 藍,iPhone 14,128
黑色現貨 台灣公司貨 Apple iPhone 16e 256G 6.1吋 高雄店面可自取,iPhone 16E,256
iPhone 16 Pro 128/256 全新未拆,iPhone 16 Pro,128
iPhone16Pro 256白色,iPhone 16 Pro,256
【高雄青蘋果3C】APPLE IPHONE 16e 128G 128GB 黑 6.1吋 二手手機#98021,iPhone 16E,128
全新iPhone16E 256G 白色,iPhone 16E,256
16 pro max 1tb,iPhone 16 Pro Max,1024
全新iPhone16E 256白色 限面交❤️,iPhone 16E,256
iPhone 16pro 256 美版極新,iPhone 16 Pro,256
【商品】I Phone 16E 128G 100% (58016),iPhone 16E,128
|自用機出售~交換亦可| iPhone 16e 128G 黑色 電池100% 17800元,iPhone 16E,128
全新未拆封iPhone 16e 128G黑色,iPhone 16E,128
📱iPhone 16 128G 藍色 🔋100% #75861,iPhone 16,128
Iphone 16 pro 256G 白鈦,iPhone 16 Pro,256
新竹實體店面📱iphone16E 128G 白色 🉑無卡分期 學生 八大 上班族 軍人 家庭主婦 信用瑕疵 無勞保 快速申辦 當天取機,iPhone 16E,128
iPhone 16E 256G 黑色（有盒）🔋100%,iPhone 16E,256
iPhone 16e 128G 白色 *10664,iPhone 16E,128
<二手> iphone 16e 256G 100% 黑*03828,iPhone 16E,256
iPhone 16e 128g 白,iPhone 16E,128
Apple iPhone 16 Pro 512 黑 保固到明年5／11,iPhone 16 Pro,512
二手iPhone 16E 256G 白,iPhone 16E,256
iPhone12 128G 外觀沒有損傷 功能正常 可以面交！,iPhone 12,128
iPhone 16 128Gb,iPhone 16,128
出售 iPhone 16PROMAX 256G 白色,iPhone 16 Pro Max,256
台中iPhone14 256G藍 6.1吋。，.,iPhone 14,256
iPhone 15 128,iPhone 15,128
IPHONE 16e 128 黑色,iPhone 16E,128
售 IPhone 12 128G 紫色 機況9成新 電池健康,iPhone 12,128
iPhone 16e 拆封未開通黑128,iPhone 16E,128
iPhone 16e,iPhone 16E,Unknown
iPhone 16 128G,iPhone 16,128
收iphone 16e 北北基桃可面交,iPhone 16E,Unknown
iPhone 16E 256 g黑,iPhone 16E,256
全新 iPhone 16e 128g 白色,iPhone 16E,128
iPhone 15 512G 黑色 電池86%🍎✨,iPhone 15,512
iPhone 16 Pro 128g,iPhone 16 Pro,128
售iPhone 16黑色256G用一個禮拜左右,iPhone 16,256
iPhone 15(128G黑色),iPhone 15,128
15pro 128,iPhone 15 Pro,128
iPhone 16 128G 便宜賣 中華電信續約 全新僅拆封中 門市開機一次,iPhone 16,128
高雄可面交❤️僅展示100%新 iPhone 16e 128G 白色,iPhone 16E,128
iPhone 16,iPhone 16,Unknown
iPhone 15 128黑,iPhone 15,128
IPhone 16 Pro 256原廠電池100黑色 保固到11月23 台中面交 我的電話 0422055789 5/8,iPhone 16 Pro,256
iphone14 256g 電池100%,iPhone 14,256
[全新拆封檢查] iPhone16e 256g 白色,iPhone 16E,256
